review_id	star_rating	review_headline	review_body	review_date	age	textwrap
RUQJUB5NJFEEQ	5	Five Stars	love it	2015-08-31	1467	love it
R1TSE04S9NJX2M	5	Must for any Moto-vlogger	Great mount got to 100 mile per hour on my motorcycle it the camera didn't flinch a bit<br />Is great to take great shot and can be used on almost any helmet.<br />Go pro outdid themselves	2015-08-31	1467	Great mount got to 100 mile per hour on my motorcycle it the<br>camera didn't flinch a bit<br />Is great to take great shot and<br>can be used on almost any helmet.<br />Go pro outdid themselves
R3LXM75XV7WJPJ	5	Keeps you afloat.	Keeps your GoPro from sinking to the bottom of the lake. Covers back door completely. Includes the two tether mounts/anchors, not the surf mount, as depicted in the first photo.	2015-08-31	1467	Keeps your GoPro from sinking to the bottom of the lake. Covers<br>back door completely. Includes the two tether mounts/anchors,<br>not the surf mount, as depicted in the first photo.
R3V0JPPNOOLXA4	4	Great product!	Great product!	2015-08-31	1467	Great product!
R25YP6ZN9IVGEW	5	Five Stars	Spend the money on this and you will be glad you did.  Works awesome, stinks really well without damaging.	2015-08-31	1467	Spend the money on this and you will be glad you did.  Works<br>awesome, stinks really well without damaging.
R3TY19ZNCVMOHH	5	Another top accessory from Go-Pro	Bought this for myself to use on the motorbike, i also have a go pro side mount and this was a very worthy addition to an ever increasing family of go pro accessories, it seems they can do no wrong and this is no different, the quality is spot on and the build is great. been using it for 6 months now with no issues at all.	2015-08-31	1467	Bought this for myself to use on the motorbike, i also have a go<br>pro side mount and this was a very worthy addition to an ever<br>increasing family of go pro accessories, it seems they can do no<br>wrong and this is no different, the quality is spot on and the<br>build is great. been using it for 6 months now with no issues at<br>all.
R1N3Y8Q3XGRMJ1	5	Five Stars	No problems. Very accurate description	2015-08-31	1467	No problems. Very accurate description
R2E7LLKYZVTRAJ	4	Four Stars	Love my gadgets thanks	2015-08-31	1467	Love my gadgets thanks
R2MYQXPIDBHV36	5	amazed	put this in a derby car over the weekend and it took a lot of hard hits and for it being plastic, I am amazed at how well it held.	2015-08-31	1467	put this in a derby car over the weekend and it took a lot of<br>hard hits and for it being plastic, I am amazed at how well it<br>held.
RXOBTL82EGMVT	5	What a fit.	Works great. Perfect fit. The camera does not move now on jerking rides or on white water.	2015-08-31	1467	Works great. Perfect fit. The camera does not move now on<br>jerking rides or on white water.
RJ5OM3M4HZR2U	4	not bad but	went to use this the other night, it says it has a 600ft range, I couldn't go even 200ft with a relatively open space, all there was, was a dirt mound and a front end loader. have not tried it with ALL open space and direct line of sight to the camera.	2015-08-31	1467	went to use this the other night, it says it has a 600ft range,<br>I couldn't go even 200ft with a relatively open space, all there<br>was, was a dirt mound and a front end loader. have not tried it<br>with ALL open space and direct line of sight to the camera.
RCMNKKWUDJYKM	5	Totally cool. Dog will need some time to get use ...	Totally cool. Dog will need some time to get use to it but fits nice and snug. When dog is clarity is 1-10/ walking 9/ slight jog 7/ run 4/ full throttle. 1/  nothing wrong with product just the way it is.  Used it on dog in water and worker out really good 9.  If you havd dog think you will get some good shots with this product.  Easy on easy off and pretty adjustable	2015-08-31	1467	Totally cool. Dog will need some time to get use to it but fits<br>nice and snug. When dog is clarity is 1-10/ walking 9/ slight<br>jog 7/ run 4/ full throttle. 1/  nothing wrong with product just<br>the way it is.  Used it on dog in water and worker out really<br>good 9.  If you havd dog think you will get some good shots with<br>this product.  Easy on easy off and pretty adjustable
R3L1GI58O7IKJK	5	Five Stars	Awesome loved go pro type this video to see it in action	2015-08-30	1468	Awesome loved go pro type this video to see it in action
R10QUJE91Y9RY5	5	Never have to worry if you GoPro is tighly mounted	When your hand can't seam to get it tight enough or your hands are greasy and slimy, this tool is a lifesaver to ensure that you GoPro Camera is tight!	2015-08-30	1468	When your hand can't seam to get it tight enough or your hands<br>are greasy and slimy, this tool is a lifesaver to ensure that<br>you GoPro Camera is tight!
R2PXIZRHH797FO	5	Excellent	Excellent	2015-08-30	1468	Excellent
R2E9677X2XUBAP	5	Five Stars	as advertised	2015-08-30	1468	as advertised
RVLY63IZHPC8A	5	Works great.	Perfect and handy to keep on the ready for that needed quick record.	2015-08-30	1468	Perfect and handy to keep on the ready for that needed quick<br>record.
R32Z0YI3U9Y9Y4	5	Five Stars	It's very good	2015-08-30	1468	It's very good
R11II013WPGR48	5	A Smart Remote that works!	The GoPro Smart Remote is a perfect addition to a camera mounted remotely. I had teh camera on my head during our vacation nd having the Smart Remote on my wrist was great... being able to control all aspects of my GoPro Hero 4 Black. Charge last very long and very comfortable on my wrist.	2015-08-30	1468	The GoPro Smart Remote is a perfect addition to a camera mounted<br>remotely. I had teh camera on my head during our vacation nd<br>having the Smart Remote on my wrist was great... being able to<br>control all aspects of my GoPro Hero 4 Black. Charge last very<br>long and very comfortable on my wrist.
R3767UG88Q78L5	3	Useable	A little on the big side got to use at an angle but does get the job done	2015-08-30	1468	A little on the big side got to use at an angle but does get the<br>job done
R3FJJTLADCOW0B	1	not charging	I just got this product and it's not charging . I'm so disappointed hope will refund my money soon	2015-08-30	1468	I just got this product and it's not charging . I'm so<br>disappointed hope will refund my money soon
R385927HBGND8N	5	Functionality for water lovers	Haven't used it in the water yet, but this is a nice, comfortable hand grip. With the wrist strap, this is a no Brainer for water enthusiasts!	2015-08-29	1469	Haven't used it in the water yet, but this is a nice,<br>comfortable hand grip. With the wrist strap, this is a no<br>Brainer for water enthusiasts!
R23CVW5QB8AV8A	5	Five Stars	Awesome	2015-08-29	1469	Awesome
R2QXWTKPSYP0XR	5	It is hard to imagine a more perfect item to have in your GoPro collection	A tool that does exactly what it says it will do. And - it will open your beer! It is hard to imagine a more perfect item to have in your GoPro collection. I use it nearly every time I attach a GoPro to a new mount. At first I thought I would have like the handle to be longer, but the length prevents over torquing the screw. They thought of everything. Best of all - my cameras stay where I want them. Recommended.	2015-08-29	1469	A tool that does exactly what it says it will do. And - it will<br>open your beer! It is hard to imagine a more perfect item to<br>have in your GoPro collection. I use it nearly every time I<br>attach a GoPro to a new mount. At first I thought I would have<br>like the handle to be longer, but the length prevents over<br>torquing the screw. They thought of everything. Best of all - my<br>cameras stay where I want them. Recommended.
RNBB33ZESFSEY	5	Five Stars	Excellent	2015-08-29	1469	Excellent
RYOJLLU5U7GIZ	5	Great product!	Original and perfect!	2015-08-28	1470	Original and perfect!
R2YKIFDZ3RAITT	5	Five Stars	Fast delivery very happy	2015-08-28	1470	Fast delivery very happy
R3R9EHY6WO0EMK	4	Save your thumbs. Use this instead.	For the parts of your rig that need to be locked down and immovable, this is essential.<br /><br />I don't know how long the finish will last because I chipped it opening bottles. If you are in a salt-water environment, this might be more of an issue. I like the closed end, which keeps the wrench from sliding towards the camera rig when tightening.<br /><br />I'd like it even better if there was a flat-blade screwdriver/prybar included	2015-08-28	1470	For the parts of your rig that need to be locked down and<br>immovable, this is essential.<br /><br />I don't know how long<br>the finish will last because I chipped it opening bottles. If<br>you are in a salt-water environment, this might be more of an<br>issue. I like the closed end, which keeps the wrench from<br>sliding towards the camera rig when tightening.<br /><br />I'd<br>like it even better if there was a flat-blade screwdriver/prybar<br>included
R1V6ZJCMFM4IX0	5	Helpful for sure	nothing is more trusting than foggy camera lenses. These have helped, haven't had any issues since using them.	2015-08-28	1470	nothing is more trusting than foggy camera lenses. These have<br>helped, haven't had any issues since using them.
